Serial Number,Employee Number,Task,Time
khushi,"& ""C:/Program Files/Python311/python.exe"" c:/Users/pc1/Desktop/sc_python/timeSheet.py","& ""C:/Program Files/Python311/python.exe"" c:/Users/pc1/Desktop/sc_python/timeSheet.py",2024-07-23 12:46:11
1,22,timesheet,2024-07-23 12:46:31
1,33,timesheet,2024-07-23 12:53:03,"""csv"""
3,AAYUSHI,API,2024-07-23 12:56:29,Geeky Shows
4,riya,sql,2024-07-23 12:58:39,my sql
5,66,vhj,2024-07-23 13:01:53,"m,mll"
6,33,python,2024-07-23 13:10:57,csv
7,12,timesheet,2024-07-23 13:13:53,work
8,91,mkd,2024-07-23 13:18:41,sms 
1,13,timesheet,2024-07-23 13:31:23,hello
1,3,timesheet,2024-07-23 13:34:02,while using csv
1,111,Test,2024-07-23 13:35:53,
1,111,test,1 hours,using csv
2,12,total time,4 hours,timesheet
2,12,time,2,time taken
1,121,flask,30 min,api
2,342,api,1,api while using flask
1,011,api,1,api callimg
1,kargjhb,bhk,vkn,bkkn
"& ""C:/Program Files/Python311/python.exe"" c:/Users/pc1/Desktop/sc_python/timeSheet.py",1,nsm,1,ksld
1,21,python,1,we need clear code
2,3,timesheet,3,flask
